topic,size,top_words,rep_1,rep_2
0,89,"čempionatą, vietos, pratęsimuose, komanda, nacionalinį, laimėjo, taktiką, treneris, aiškino, gynybos",Startuolis pritraukė 50 mln. USD DI platformos plėtrai in a surprise move (New York),19 Startuolis pritraukė 50 mln. USD DI platformos plėtrai (New York)
1,131,"won, believe, happened, worldwide, users, major, millions, breach, affects, security",„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis analitikų teigimu (Vilnius),„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis after report (New York)
2,124,"trick, forever, change, life, new, coach, defensive, explains, game, tactics",Top 7 secrets companies don't want you to know — Number 5 is shocking (London),Coach explains new defensive tactics after the game po pranešimo (Kaunas)
3,87,"ai, new, apple, iphone, unveils, features, advanced, camera, million, scale",Apple unveils a new iPhone with advanced camera and AI features — analysts say (Kaunas),97 Transfer rumors suggest a record deal for the young striker as markets react (London)
4,89,"concerns, amid, analysts, inflation, stock, falls, market, messi, league, goal",Messi scores a stunning goal in the Champions League match — analysts say (Paris),Messi scores a stunning goal in the Champions League match analitikų teigimu (Madrid)
5,108,"markets, paprastais, kompiuterį, pagreitinti, triukais, simple, speed, tweaks, computer, rekordą","52 Central bank cuts rates, markets rally on dovish guidance (New York)","Central bank cuts rates, markets rally on dovish guidance (New York)"
6,46,"reakcijos, rinkos, spraga, saugumo, vartotojų, milijonus, didelė, paveikė, įvyko, negalėsite",11 Didelė saugumo spraga paveikė milijonus vartotojų dėl rinkos reakcijos (Vilnius),Didelė saugumo spraga paveikė milijonus vartotojų dėl rinkos reakcijos (Madrid)
7,93,"shock, happens, did, reasons, buy, gadget, local, overtime, national, championship",59 Local team wins national championship in overtime (New York),Local team wins national championship in overtime after report
8,148,"procesus, mašininio, kodo, mokymosi, pagreitina, atviro, bibliotekos, įmušė, lygų, taurėje",Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus analitikų teigimu (New York),Star player signs a multi-year contract with club po pranešimo (New York)
9,85,"workflows, source, machine, learning, open, libraries, accelerate, linked, investors, hedge",11 Investors hedge inflation risk using index-linked bonds analitikų teigimu,69 Investors hedge inflation risk using index-linked bonds — analysts say
