orig_row,text,n_terms,dominant_topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
27191,"4 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
10559,28 Coach explains new defensive tactics after the game,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
5171,"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it (Berlin)",7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
39466,88 Open-source libraries accelerate machine learning workflows analitikų teigimu,9,9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91
9361,31 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
5120,85 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
14144,Top 7 secrets companies don't want you to know — Number 5 is shocking (London),8,2,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011
40923,66 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
37918,79 Didelė saugumo spraga paveikė milijonus vartotojų dėl rinkos reakcijos,8,6,0.011,0.011,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011
31393,10 Kaip pagreitinti kompiuterį paprastais triukais,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
19326,54 Major security breach affects millions of users worldwide po pranešimo (Paris),9,1,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
11035,93 Star player signs a multi-year contract with club,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
16586,91 Messi įmušė įspūdingą įvartį Lygų taurėje,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
45514,41 She did X — what happens next will shock you (Paris),4,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
26926,62 Coach explains new defensive tactics after the game,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
1637,Apple unveils a new iPhone with advanced camera and AI features (Berlin),9,3,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01
10067,"24 Ji padarė X — kas nutiks toliau, pribloškia",5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
11445,16 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
1708,Didelė saugumo spraga paveikė milijonus vartotojų — analysts say (Vilnius),9,6,0.01,0.01,0.01,0.01,0.22,0.01,0.7,0.01,0.01,0.01
46157,You won't believe what happened next — You won't believe it (London),6,1,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
42654,42 Start-up raises $50 million to scale its AI platform,6,3,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014
42156,74 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
8,She did X — what happens next will shock you — Find out why,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
24541,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose in a surprise move (Madrid),8,0,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
20061,65 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
43961,"14 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
30739,9 Messi įmušė įspūdingą įvartį Lygų taurėje,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
2406,74 Žvaigždė pasirašė daugiametę sutartį su klubu,5,8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.85,0.017
5891,Treneris aiškino naują gynybos taktiką po rungtynių dėl rinkos reakcijos (London),9,0,0.7,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01
48053,"45 Central bank cuts rates, markets rally on dovish guidance in a surprise move",9,5,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01
1738,Šis triukas pakeis jūsų gyvenimą amžiams — Number 5 is shocking (New York),9,1,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8901,29 Messi įmušė įspūdingą įvartį Lygų taurėje,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
3328,23 Analysts predict record profits for the banking sector dėl rinkos reakcijos (London),9,4,0.01,0.01,0.01,0.01,0.698,0.01,0.222,0.01,0.01,0.01
47687,10 Žvaigždė pasirašė daugiametę sutartį su klubu amid concerns (New York),9,8,0.01,0.01,0.01,0.01,0.232,0.01,0.01,0.01,0.688,0.01
34099,7 Startuolis pritraukė 50 mln. USD DI platformos plėtrai po pranešimo (Paris),9,0,0.797,0.123,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020,Local team wins national championship in overtime after report,7,7,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013,0.013
48609,19 Startuolis pritraukė 50 mln. USD DI platformos plėtrai (New York),9,0,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
14059,7 Messi scores a stunning goal in the Champions League match,7,4,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013
