headline_id,orig_row,text,n_terms,dominant_topic,topic_0,topic_1,topic_2,topic_3
H01,17568,86 This trick will change your life forever (Kaunas),5,3,0.042,0.043,0.042,0.873
H02,3734,How to speed up your computer with simple tweaks (Madrid),5,1,0.042,0.874,0.042,0.042
H03,9103,60 Kaip pagreitinti kompiuterį paprastais triukais (New York),6,1,0.036,0.89,0.037,0.037
H04,11889,98 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.892,0.036,0.036,0.036
H05,9488,32 Star player signs a multi-year contract with club,7,3,0.031,0.031,0.031,0.906
H06,26496,2 Coach explains new defensive tactics after the game,6,3,0.036,0.036,0.036,0.892
H07,29197,61 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,0,0.906,0.031,0.031,0.031
H08,45270,45 She did X — what happens next will shock you — Read more,4,0,0.847,0.051,0.051,0.051
H09,34547,44 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (Berlin),9,1,0.025,0.924,0.026,0.025
H10,24439,32 Stock market falls amid inflation concerns dėl rinkos reakcijos,6,2,0.036,0.036,0.893,0.036
H11,20061,65 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,0,0.906,0.031,0.031,0.031
H12,23362,2 10 reasons you should never buy this gadget,3,3,0.063,0.063,0.063,0.812
H13,29762,"96 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte (London)",5,2,0.043,0.042,0.872,0.043
H14,18305,11 Major security breach affects millions of users worldwide analitikų teigimu,7,0,0.906,0.031,0.031,0.031
H15,17599,Žvaigždė pasirašė daugiametę sutartį su klubu as markets react (Madrid),6,1,0.036,0.892,0.036,0.036
H16,41312,9 Žvaigždė pasirašė daugiametę sutartį su klubu (Paris),6,1,0.036,0.892,0.036,0.036
H17,10905,3 10 reasons you should never buy this gadget,3,3,0.063,0.063,0.063,0.812
H18,13032,44 Earnings beat expectations as revenue grows in cloud segment,7,0,0.906,0.031,0.031,0.031
H19,445,Top 7 secrets companies don't want you to know (London),6,3,0.036,0.036,0.036,0.892
H20,5242,45 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,7,2,0.031,0.031,0.906,0.031
