headline_id,orig_row,text
H01,17568,86 This trick will change your life forever (Kaunas)
H02,3734,How to speed up your computer with simple tweaks (Madrid)
H03,9103,60 Kaip pagreitinti kompiuterį paprastais triukais (New York)
H04,11889,98 Treneris aiškino naują gynybos taktiką po rungtynių
H05,9488,32 Star player signs a multi-year contract with club
H06,26496,2 Coach explains new defensive tactics after the game
H07,29197,61 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus
H08,45270,45 She did X — what happens next will shock you — Read more
H09,34547,44 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (Berlin)
H10,24439,32 Stock market falls amid inflation concerns dėl rinkos reakcijos
H11,20061,65 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus
H12,23362,2 10 reasons you should never buy this gadget
H13,29762,"96 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte (London)"
H14,18305,11 Major security breach affects millions of users worldwide analitikų teigimu
H15,17599,Žvaigždė pasirašė daugiametę sutartį su klubu as markets react (Madrid)
H16,41312,9 Žvaigždė pasirašė daugiametę sutartį su klubu (Paris)
H17,10905,3 10 reasons you should never buy this gadget
H18,13032,44 Earnings beat expectations as revenue grows in cloud segment
H19,445,Top 7 secrets companies don't want you to know (London)
H20,5242,45 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą
