orig_row,text,n_terms,dominant_topic,topic_0,topic_1,topic_2,topic_3
27191,"4 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",5,2,0.042,0.042,0.874,0.042
10559,28 Coach explains new defensive tactics after the game,6,3,0.036,0.036,0.036,0.892
5171,"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it (Berlin)",7,2,0.031,0.324,0.613,0.032
39466,88 Open-source libraries accelerate machine learning workflows analitikų teigimu,7,3,0.031,0.031,0.031,0.906
9361,31 Local team wins national championship in overtime,6,1,0.036,0.893,0.036,0.036
5120,85 Local team wins national championship in overtime,6,1,0.036,0.893,0.036,0.036
14144,Top 7 secrets companies don't want you to know — Number 5 is shocking (London),8,3,0.028,0.028,0.028,0.916
40923,66 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,0,0.906,0.031,0.031,0.031
37918,79 Didelė saugumo spraga paveikė milijonus vartotojų dėl rinkos reakcijos,6,0,0.893,0.036,0.036,0.036
31393,10 Kaip pagreitinti kompiuterį paprastais triukais,4,1,0.05,0.85,0.05,0.05
19326,54 Major security breach affects millions of users worldwide po pranešimo (Paris),8,0,0.916,0.028,0.028,0.028
11035,93 Star player signs a multi-year contract with club,7,3,0.031,0.031,0.031,0.906
16586,91 Messi įmušė įspūdingą įvartį Lygų taurėje,6,2,0.036,0.036,0.893,0.036
45514,41 She did X — what happens next will shock you (Paris),4,0,0.848,0.051,0.051,0.051
26926,62 Coach explains new defensive tactics after the game,6,3,0.036,0.036,0.036,0.892
1637,Apple unveils a new iPhone with advanced camera and AI features (Berlin),9,2,0.025,0.026,0.924,0.025
10067,"24 Ji padarė X — kas nutiks toliau, pribloškia",5,0,0.875,0.042,0.042,0.042
11445,16 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.892,0.036,0.036,0.036
1708,Didelė saugumo spraga paveikė milijonus vartotojų — analysts say (Vilnius),7,0,0.906,0.031,0.031,0.031
46157,You won't believe what happened next — You won't believe it (London),6,1,0.036,0.891,0.036,0.036
42654,42 Start-up raises $50 million to scale its AI platform,6,1,0.036,0.893,0.036,0.036
42156,74 This trick will change your life forever,4,3,0.05,0.05,0.05,0.85
8,She did X — what happens next will shock you — Find out why,3,0,0.812,0.063,0.063,0.063
24541,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose in a surprise move (Madrid),8,0,0.915,0.028,0.028,0.028
20061,65 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,0,0.906,0.031,0.031,0.031
43961,"14 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",5,2,0.042,0.042,0.874,0.042
30739,9 Messi įmušė įspūdingą įvartį Lygų taurėje,6,2,0.036,0.036,0.893,0.036
2406,74 Žvaigždė pasirašė daugiametę sutartį su klubu,5,1,0.042,0.875,0.042,0.042
5891,Treneris aiškino naują gynybos taktiką po rungtynių dėl rinkos reakcijos (London),7,0,0.905,0.032,0.031,0.032
48053,"45 Central bank cuts rates, markets rally on dovish guidance in a surprise move",9,0,0.924,0.025,0.025,0.025
1738,Šis triukas pakeis jūsų gyvenimą amžiams — Number 5 is shocking (New York),9,3,0.025,0.025,0.025,0.924
8901,29 Messi įmušė įspūdingą įvartį Lygų taurėje,6,2,0.036,0.036,0.893,0.036
3328,23 Analysts predict record profits for the banking sector dėl rinkos reakcijos (London),7,0,0.905,0.031,0.031,0.032
47687,10 Žvaigždė pasirašė daugiametę sutartį su klubu amid concerns (New York),9,1,0.025,0.669,0.28,0.026
34099,7 Startuolis pritraukė 50 mln. USD DI platformos plėtrai po pranešimo (Paris),8,3,0.028,0.028,0.028,0.916
2020,Local team wins national championship in overtime after report,6,1,0.036,0.893,0.036,0.036
48609,19 Startuolis pritraukė 50 mln. USD DI platformos plėtrai (New York),9,3,0.025,0.026,0.025,0.924
14059,7 Messi scores a stunning goal in the Champions League match,7,2,0.031,0.031,0.906,0.031
9177,31 Kaip pagreitinti kompiuterį paprastais triukais,4,1,0.05,0.85,0.05,0.05
20269,Apple unveils a new iPhone with advanced camera and AI features — analysts say (Kaunas),9,2,0.025,0.026,0.923,0.025
2156,33 This trick will change your life forever,4,3,0.05,0.05,0.05,0.85
5642,38 Top 7 secrets companies don't want you to know (London),6,3,0.036,0.036,0.036,0.892
37336,62 10 reasons you should never buy this gadget (Berlin),4,3,0.05,0.051,0.051,0.848
14288,29 You won't believe what happened next,3,1,0.063,0.812,0.063,0.063
26,Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus dėl rinkos reakcijos,7,0,0.906,0.031,0.031,0.031
17125,31 Treneris aiškino naują gynybos taktiką po rungtynių amid concerns (London),9,0,0.92,0.025,0.029,0.025
7349,49 Top 7 secrets companies don't want you to know,5,3,0.042,0.042,0.042,0.875
14273,Coach explains new defensive tactics after the game po pranešimo (Kaunas),7,3,0.032,0.032,0.032,0.905
906,92 Local team wins national championship in overtime,6,1,0.036,0.893,0.036,0.036
15081,23 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (Kaunas),9,1,0.025,0.924,0.025,0.025
47419,38 Žvaigždė pasirašė daugiametę sutartį su klubu,5,1,0.042,0.875,0.042,0.042
9941,29 Coach explains new defensive tactics after the game,6,3,0.036,0.036,0.036,0.892
2846,28 Transfer rumors suggest a record deal for the young striker,7,3,0.032,0.031,0.031,0.906
45728,58 Apple unveils a new iPhone with advanced camera and AI features,8,2,0.028,0.029,0.915,0.028
5102,55 You won't believe what happened next,3,1,0.063,0.812,0.063,0.063
2767,"59 Ji padarė X — kas nutiks toliau, pribloškia",5,0,0.875,0.042,0.042,0.042
30560,96 Didelė saugumo spraga paveikė milijonus vartotojų after report,6,0,0.893,0.036,0.036,0.036
28092,87 10 reasons you should never buy this gadget,3,3,0.063,0.063,0.063,0.812
1871,Start-up raises $50 million to scale its AI platform (New York),8,1,0.028,0.915,0.029,0.029
32044,92 Treneris aiškino naują gynybos taktiką po rungtynių (Paris),7,0,0.905,0.032,0.031,0.032
1247,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (Vilnius),7,0,0.906,0.031,0.031,0.031
4817,Apple unveils a new iPhone with advanced camera and AI features (London),9,2,0.025,0.026,0.923,0.026
44417,Coach explains new defensive tactics after the game — analysts say (Vilnius),7,3,0.157,0.032,0.033,0.778
6126,"58 Ji padarė X — kas nutiks toliau, pribloškia",5,0,0.875,0.042,0.042,0.042
1895,23 10 reasons you should never buy this gadget,3,3,0.063,0.063,0.063,0.812
33467,Major security breach affects millions of users worldwide after report (New York),9,0,0.922,0.026,0.026,0.026
3971,Stock market falls amid inflation concerns dėl rinkos reakcijos,6,2,0.036,0.036,0.893,0.036
13452,36 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,7,0,0.906,0.031,0.031,0.031
26406,6 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,8,1,0.028,0.916,0.028,0.028
27456,72 Apple unveils a new iPhone with advanced camera and AI features,8,2,0.028,0.029,0.915,0.028
5432,98 Open-source libraries accelerate machine learning workflows (Berlin),8,3,0.028,0.028,0.028,0.916
216,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (London),7,0,0.906,0.031,0.031,0.032
14002,9 Kaip pagreitinti kompiuterį paprastais triukais,4,1,0.05,0.85,0.05,0.05
14976,76 Transfer rumors suggest a record deal for the young striker po pranešimo,7,3,0.032,0.031,0.031,0.906
11164,Coach explains new defensive tactics after the game dėl rinkos reakcijos (New York),8,3,0.028,0.028,0.028,0.916
